AAP;Alexandra Palace;ALEXNDP,,,,,
AAT;Achanalt;ACHANLT,,,,,
ABA;Aberdare;ABDARE,,,,,
ABC;Altnabreac;ALTNBRC,,,,,
ABD;Aberdeen;ABRDEEN,,,,,
ABE;Aber;ABER,,,,,
ABH;Abererch;ABRE,,,,,
ABW;Abbey Wood;ABWD,,,,,
ABY;Ashburys;ASHBRYS,,,,,
ACB;Acton Bridge;ACBG,,,,,
ACC;Acton Central;ACTNCTL,,,,,
ACG;Acocks Green;ACOCKSG,,,,,
ACH;Achnashellach;ACHHSHL,,,,,
ACK;Acklington;ACKLNGT,,,,,
ACL;Acle;ACLE,,,,,
ACN;Achnasheen;ACHNSHN,,,,,
ACR;Accrington;ACRNGTN,,,,,
ACT;Ascot;ASCOT,,,,,
ACY;Abercynon;ABRCYNS,,,,,
ADC;Adlington (Cheshire);ADLC,,,,,
ADD;Adderley Park;ADERLYP,,,,,
ADK;Ardwick;ARDWICK,,,,,
ADL;Adlington (Lancashire);ADNL,,,,,
ADM;Adisham;ADISHAM,,,,,
ADN;Ardrossan Town;ARDRSTN,,,,,
ADR;Airdrie;AIRDRIE,,,,,
ADS;Ardrossan Harbour;ARDRSHB,,,,,
ADV;Andover;ANDOVER,,,,,
ADW;Addiewell;ADIEWEL,,,,,
AFK;Ashford International;ASHFKY,ASHFKI,,,,
AFS;Ashford (Surrey);ASFDMSX,,,,,
AFV;Ansdell & Fairhaven;ANSDELL,,,,,
AGL;Abergele & Pensarn;ABGLELE,,,,,
AGR;Angel Road;ANGELRD,,,,,
AGS;Argyle Street;ARGYLST,,,,,
AGT;Aldrington;ALDTON,,,,,
AGV;Abergavenny;ABRGVNY,,,,,
AHD;Ashtead;ASHD,,,,,
AHN;Ashton-under-Lyne;ASHONUL,,,,,
AHS;Ashurst;ASHURST,,,,,
AHT;Aldershot;ALDRSHT,,,,,
AHV;Ash Vale;ASHVALE,,,,,
AIG;Aigburth;AIGBURT,,,,,
AIN;Aintree;AINTREE,,,,,
AIR;Airbles;AIRBLES,,,,,
ALB;Albrighton;ALBRGHT,,,,,
ALD;Alderley Edge;ALDEDGE,,,,,
ALF;Alfreton;ALFRETN,,,,,
ALK;Aslockton;ASLCKTN,,,,,
ALM;Alnmouth;ALNMOTH,,,,,
ALN;Althorne;ALTHORN,,,,,
ALO;Alloa;ALLOA,,,,,
ALP;Althorpe;ALTPE,,,,,
ALR;Alresford (Essex);ALRESFD,,,,,
ALT;Altrincham;ALTRNHM,,,,,
ALV;Alvechurch;ALVCHRC,,,,,
ALW;Allens West;ALLENSW,,,,,
ALX;Alexandria;ALXANDR,,,,,
AMB;Ambergate;AMBERGT,,,,,
AMF;Ammanford;AMMANFD,,,,,
AML;Acton Main Line;ACTONML,,,,,
AMR;Amersham;AMERSHM,,,,,
AMT;Aldermaston;ALDMSTN,,,,,
AMY;Amberley;AMLY,,,,,
ANC;Ancaster;ANCASTR,,,,,
AND;Anderston;ANDRSTN,,,,,
ANF;Ashurst New Forest;LYNDHRD,,,,,
ANG;Angmering;ANGMRNG,,,,,
ANL;Anniesland;ANSL,,,,,
ANN;Annan;ANNAN,,,,,
ANS;Ainsdale;AINSDAL,,,,,
ANZ;Anerley;ANERLEY,,,,,
AON;Alton;ALTON,,,,,
APB;Appley Bridge;APLYBDG,,,,,
APD;Appledore (Kent);APDR,,,,,
APF;Appleford;APPLEFD,,,,,
APG;Aspley Guise;ASPLEYG,,,,,
APP;Appleby;APBY,,,,,
APS;Apsley;APSLEY,,,,,
ARB;Arbroath;ARBROTH,,,,,
ARD;Ardgay;ARDGAY,,,,,
ARG;Arisaig;ARISAIG,,,,,
ARL;Arlesey;ARLSEY,,,,,
ARM;Armadale;ARMDALE,,,,,
ARN;Arnside;ARNSIDE,,,,,
ARR;Arram;ARRAM,,,,,
ART;Arrochar & Tarbet;ARCHRAT,,,,,
ARU;Arundel;ARUNDEL,,,,,
ASB;Ardrossan South Beach;ARDRSSB,,,,,
ASC;Ashchurch for Tewkesbury;ASHCHRC,,,,,
ASF;Ashfield;ASFIELD,,,,,
ASG;Alsager;ALSAGER,,,,,
ASH;Ash;ASHH,,,,,
ASK;Askam;ASKAM,,,,,
ASN;Addlestone;ADLESTN,,,,,
ASP;Aspatria;ASPTRIA,,,,,
ASS;Alness;ALNESS,,,,,
AST;Aston;ASTON,,,,,
ASY;Ashley;ASHLEY,,,,,
ATB;Attenborough;ATNBRO,,,,,
ATH;Atherstone;ATHRSTN,,,,,
ATL;Attleborough;ATTLBON,,,,,
ATN;Atherton;ATHERTN,,,,,
ATT;Attadale;ATADALE,,,,,
AUD;Audley End;AUDLEYE,,,,,
AUG;Aughton Park;AGHTNPH,,,,,
AUI;Ardlui;ARDLUI,,,,,
AUK;Auchinleck;ACHILCK,,,,,
AUR;Aberdour;ABDO,,,,,
AUW;Ascott-under-Wychwood;ASCTUWD,,,,,
AVF;Avoncliff;AVNCLFF,,,,,
AVM;Aviemore;AVIEMRE,,,,,
AVN;Avonmouth;AVONMTH,,,,,
AVP;Aylesbury Vale Parkway;AYLSPWY,,,,,
AVY;Aberdovey;ABDVY,,,,,
AWK;Adwick;ADWICK,,,,,
AWM;Ashwell & Morden;ASHWELC,,,,,
AWT;Armathwaite;ARMTHWT,,,,,
AXM;Axminster;AXMNSTR,AXMNSTS,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,BARKGLT,,,,
,,,,,
,BCKNMJC,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,BUSHYDC,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,CLPHMJ1,CLPHMJ2,CLPHMJC,CLPHMJM,CLPHMJW
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,EBSFLTI,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,EPHT,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
